[1,079s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.<init> (0x00007f374fa16690) [0x00007f374fa16840, 0x00007f374fa16a78] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,079s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.hasNext (0x00007f374fa16b90) [0x00007f374fa16d20, 0x00007f374fa16e80] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,079s][debug  ][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.hashCode (0x00007f374fa16f10) [0x00007f374fa170e0, 0x00007f374fa173e8] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,079s][debug  ][gc,director ] Rule Major: Warmup 10%, Used: 6MB, UsedThreshold: 1536MB
[1,079s][debug  ][gc,nmethod  ] Register NMethod: java.util.Set.of (0x00007f374fa17510) [0x00007f374fa176a0, 0x00007f374fa17790] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,080s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.module.Builder.newExports (0x00007f374fa17810) [0x00007f374fa179c0, 0x00007f374fa17b08] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,080s][debug  ][gc,nmethod  ] Register NMethod: java.util.AbstractCollection.<init> (0x00007f374fa17b90) [0x00007f374fa17d20, 0x00007f374fa17e80] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,080s][debug  ][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.equals (0x00007f374fa17f10) [0x00007f374fa18140, 0x00007f374fa18b58] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,080s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableCollection.<init> (0x00007f374fa18d10) [0x00007f374fa18ec0, 0x00007f374fa19080] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,080s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableSet.<init> (0x00007f374fa19190) [0x00007f374fa19340, 0x00007f374fa19560] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,080s][debug  ][gc,nmethod  ] Register NMethod: java.util.Set.of (0x00007f374fa19690) [0x00007f374fa198e0, 0x00007f374fa1a190] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.coder (0x00007f374fa1a490) [0x00007f374fa1a620, 0x00007f374fa1a750] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.length (0x00007f374fa1a810) [0x00007f374fa1a9c0, 0x00007f374fa1ab88] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x00007f374fa1ac90) [0x00007f374fa1ae20, 0x00007f374fa1af90] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
